Id,SalePrice
1461,128804.71926573031
1462,154229.81113627105
1463,185837.7820976467
1464,180528.7350050855
1465,208602.12968511425
1466,179085.90205269578
1467,171288.8696727179
1468,176819.0890164641
1469,176835.86376319465
1470,121079.37661754155
1471,195970.05078707478
1472,103053.85207896108
1473,107219.02601612009
1474,163668.42498797487
1475,146826.71445144262
1476,373963.4831118326
1477,252290.60082418832
1478,315789.1413153883
1479,276962.16412425187
1480,474968.9896969697
1481,300730.41114183725
1482,217928.71676373485
1483,177742.14758296913
1484,174425.1202645778
1485,167790.28658670708
1486,188907.2325631493
1487,285563.46917624754
1488,248204.24202469562
1489,193029.8517407086
1490,191111.82491479957
1491,191202.92118196498
1492,107758.97670318777
1493,185521.5431887732
1494,286918.1509533313
1495,292872.4814192193
1496,223385.31105405305
1497,185004.1753534311
1498,153538.28773058593
1499,153062.33796931274
1500,149633.8580859663
1501,182569.64288649065
1502,166622.28414040062
1503,285003.70069440024
1504,230907.80457688752
1505,216068.7790069053
1506,176371.74190186567
1507,207466.32457238444
1508,194273.85651928617
1509,165008.71291640558
1510,148795.82049067403
1511,147611.7037312961
1512,171081.67125767094
1513,155843.5239837126
1514,170054.8165005962
1515,182375.63025618315
1516,160618.7711686871
1517,152168.6533207753
1518,128610.59846378124
1519,226273.80116964542
1520,140225.23569668733
1521,146191.65949459138
1522,164367.4070240444
1523,111204.62906235961
1524,122070.47013729051
1525,129519.52739352561
1526,128233.44611520637
1527,100036.79715448279
1528,125095.29595685043
1529,142601.17662371203
1530,169468.00482803994
1531,123434.1718636726
1532,105092.72281317212
1533,140547.25357678256
1534,117249.05156972315
1535,159533.86494721172
1536,114382.20919109663
1537,76924.10047896547
1538,183228.01749767398
1539,227826.00992628228
1540,121939.64696159068
1541,160728.00714223884
1542,154734.3150117536
1543,218211.53458663772
1544,88443.87237597475
1545,108967.61679943965
1546,118642.89929102507
1547,147468.56956491733
1548,139904.2684581484
1549,108934.53130322775
1550,147609.0427991275
1551,119861.88019659369
1552,139529.26132914558
1553,143085.55654209937
1554,107993.14715948235
1555,164902.88757757217
1556,105485.47162774476
1557,123723.66540409207
1558,99647.16713726372
1559,126548.35706155802
1560,162435.46707836835
1561,162624.1195054291
1562,127154.44119770078
1563,118069.9756805185
1564,158433.8703307152
1565,157844.6595849101
1566,225416.13734284646
1567,90688.6066994967
1568,209491.9170682767
1569,150942.80356970138
1570,124915.30124933162
1571,137040.11320622414
1572,144603.04263758945
1573,242772.5232888223
1574,120620.82695725116
1575,215410.2365628292
1576,201791.8339821039
1577,195905.97147855026
1578,170984.7295526405
1579,141729.6163848821
1580,192463.3943380902
1581,137881.85525408795
1582,125115.8853169772
1583,320319.7515794284
1584,237977.25922403103
1585,142147.67636333837
1586,80966.08172762708
1587,110402.78491384276
1588,145236.5938532819
1589,113035.01289851704
1590,136931.81925077806
1591,113618.21233032532
1592,120254.07501895564
1593,114656.11866463217
1594,146792.3234387104
1595,125980.30943943508
1596,225778.9124160922
1597,170107.9002534246
1598,182375.911648338
1599,207886.12264859726
1600,197860.02586190973
1601,73772.03367218953
1602,114942.21573708454
1603,97658.63965804235
1604,285581.6417648904
1605,248178.77253464964
1606,165367.10965105225
1607,149317.90430004348
1608,202842.0631456138
1609,185594.30593941233
1610,165439.6076182281
1611,143385.19302574516
1612,168138.71985281713
1613,169457.82966801085
1614,119896.70961129328
1615,95347.88837705705
1616,90056.49539251227
1617,96536.13544918285
1618,129401.51491140612
1619,137544.99476917688
1620,151903.3101876014
1621,139137.80405666656
1622,153044.9146547829
1623,289420.3966344839
1624,204658.23571634703
1625,129712.65201464928
1626,177367.96680258383
1627,187359.86093882215
1628,286961.1453828229
1629,175582.92906180248
1630,388220.3578363189
1631,217395.54552071102
1632,246490.34881915856
1633,165744.6246171345
1634,181651.31744500142
1635,181759.50914320062
1636,162401.06491094365
1637,175118.71955992957
1638,216367.12685867003
1639,178155.55756083343
1640,256105.36838771333
1641,184732.9325234974
1642,223441.88775212885
1643,222778.81658942375
1644,221109.8776877709
1645,182789.86627410448
1646,151499.25323617703
1647,159799.77600033605
1648,136400.6655867736
1649,138599.4937901267
1650,121429.43192956432
1651,125534.16461286909
1652,101483.49715899595
1653,103633.63296561914
1654,163593.58986732294
1655,158586.07370917275
1656,164006.66903907844
1657,163957.27818036644
1658,164048.41182995497
1659,148747.57101881813
1660,138011.30427307126
